[2022-02-08 17:46:22,992] {taskinstance.py:1032} INFO - Dependencies all met for <TaskInstance: gcs_to_bq_dag.gcs_2_gcs_task scheduled__2022-02-07T00:00:00+00:00 [queued]>
[2022-02-08 17:46:23,002] {taskinstance.py:1032} INFO - Dependencies all met for <TaskInstance: gcs_to_bq_dag.gcs_2_gcs_task scheduled__2022-02-07T00:00:00+00:00 [queued]>
[2022-02-08 17:46:23,003] {taskinstance.py:1238} INFO - 
--------------------------------------------------------------------------------
[2022-02-08 17:46:23,004] {taskinstance.py:1239} INFO - Starting attempt 24 of 25
[2022-02-08 17:46:23,005] {taskinstance.py:1240} INFO - 
--------------------------------------------------------------------------------
[2022-02-08 17:46:23,017] {taskinstance.py:1259} INFO - Executing <Task(GCSToGCSOperator): gcs_2_gcs_task> on 2022-02-07 00:00:00+00:00
[2022-02-08 17:46:23,023] {standard_task_runner.py:52} INFO - Started process 143 to run task
[2022-02-08 17:46:23,027] {standard_task_runner.py:76} INFO - Running: ['***', 'tasks', 'run', 'gcs_to_bq_dag', 'gcs_2_gcs_task', 'scheduled__2022-02-07T00:00:00+00:00', '--job-id', '735', '--raw', '--subdir', 'DAGS_FOLDER/gcs_2_bq_dag.py', '--cfg-path', '/tmp/tmpgf16bhgg', '--error-file', '/tmp/tmph40fvfhe']
[2022-02-08 17:46:23,028] {standard_task_runner.py:77} INFO - Job 735: Subtask gcs_2_gcs_task
[2022-02-08 17:46:23,093] {logging_mixin.py:109} INFO - Running <TaskInstance: gcs_to_bq_dag.gcs_2_gcs_task scheduled__2022-02-07T00:00:00+00:00 [running]> on host 96d203bed047
[2022-02-08 17:46:23,147] {taskinstance.py:1426} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=gcs_to_bq_dag
AIRFLOW_CTX_TASK_ID=gcs_2_gcs_task
AIRFLOW_CTX_EXECUTION_DATE=2022-02-07T00:00:00+00:00
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-02-07T00:00:00+00:00
[2022-02-08 17:46:23,150] {crypto.py:82} WARNING - empty cryptography key - values will not be stored encrypted.
[2022-02-08 17:46:23,151] {gcs_to_gcs.py:346} INFO - Delimiter ignored because wildcard is in prefix
[2022-02-08 17:46:23,616] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2020-04.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2020-04.parquet
[2022-02-08 17:46:23,809] {gcs.py:251} INFO - Total Bytes: 5285861 | Bytes Written: 5285861
[2022-02-08 17:46:23,812] {gcs.py:264} INFO - Object raw/yellow_tripdata_2020-04.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2020-04.parquet in bucket dtc_data_lake_rational-aria-338717
